customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,Age,Age Group,address,postcode,state,country,property_valuation,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,customer_segment,segment_rank,name,total_sales
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,60-69,060 Morning Avenue,2016.0,NSW,Australia,10.0,7,11,3018.0899999999997,4,4,3,443,Very Loyal,2,Laraine Medendorp,9084.45
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,Yes,16.0,37.0,30-39,6 Meadow Vale Court,2153.0,NSW,Australia,10.0,128,3,2226.26,1,1,2,112,Evasive Customer,10,Eli Bockman,4149.07
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,Yes,15.0,64.0,60-69,,,,,,102,8,3362.8100000000004,1,4,3,143,Almost Lost Customer,9,Arlin Dearle,9888.23
4,Talbot,,Male,33,1961-10-03,Unknown,IT,Mass Customer,No,7.0,56.0,50-59,0 Holy Cross Court,4211.0,QLD,Australia,9.0,195,2,220.57,1,1,1,111,Lost Customer,11,Talbot,1047.72
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,Unknown,Affluent Customer,Yes,8.0,41.0,40-49,17979 Del Mar Point,2448.0,NSW,Australia,4.0,16,6,2394.94,4,2,2,422,Becoming Loyal,3,Sheila-kathryn Calton,5903.2
6,Curr,Duckhouse,Male,35,1966-09-16,Unknown,Retail,High Net Worth,Yes,13.0,51.0,50-59,9 Oakridge Court,3216.0,VIC,Australia,9.0,64,5,3946.55,2,2,3,223,High Risk Customer,8,Curr Duckhouse,5931.6900000000005
7,Fina,Merali,Female,6,1976-02-23,Unknown,Financial Services,Affluent Customer,Yes,11.0,42.0,40-49,4 Delaware Trail,2210.0,NSW,Australia,9.0,253,3,220.10999999999999,1,1,1,111,Lost Customer,11,Fina Merali,995.38
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,Unknown,Mass Customer,No,7.0,56.0,50-59,49 Londonderry Lane,2650.0,NSW,Australia,4.0,22,10,7066.939999999999,3,4,4,344,Recent Customer,4,Rod Inder,12024.759999999998
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,45.0,40-49,97736 7th Trail,2023.0,NSW,Australia,12.0,78,6,2353.1099999999997,2,2,2,222,High Risk Customer,8,Mala Lind,5357.549999999999
10,Fiorenze,Birdall,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20.0,29.0,20-29,,,,,,33,6,3358.28,3,2,3,323,Potential Customer,5,Fiorenze Birdall,7067.83
11,Uriah,Bisatt,Male,99,1954-04-30,Unknown,Property,Mass Customer,No,9.0,64.0,60-69,93405 Ludington Park,3044.0,VIC,Australia,8.0,46,6,3638.84,2,2,3,223,High Risk Customer,8,Uriah Bisatt,6779.4400000000005
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,23.0,20-29,44339 Golden Leaf Alley,4557.0,QLD,Australia,4.0,67,7,3540.03,2,3,3,233,Losing Customer,7,Sawyere Flattman,6394.21
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,Yes,8.0,63.0,60-69,2 Sutherland Street,3799.0,VIC,Australia,6.0,27,7,4337.38,3,3,4,334,Potential Customer,5,Gabriele Norcross,7734.74
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,No,6.0,35.0,30-39,9 Mcbride Trail,2760.0,NSW,Australia,8.0,47,4,1713.9,2,1,1,211,Almost Lost Customer,9,Rayshell Kitteman,3593.57
